borrower_id,role_profile
a20d3e1c-d1fb-45a8-b89d-0373f7a29d9d,co-borrower
0c53b401-def5-4c5e-9981-fc7ec92ac230,co-borrower
6a91cf5a-6166-4e01-bdda-00953de327a3,co-borrower
560cea0d-a266-4c40-b7d1-1688db8d86b8,co-borrower
1cd44b01-06ce-44dc-ad12-27bf24bc3b2e,co-borrower
ef56846c-d942-45ea-8a2d-5852fb2b51ec,borrower
746c01a7-a1cb-4fa4-856d-1d1bf48e13b8,co-borrower
c298d352-6d0d-4d64-aa3d-5c77202b509e,borrower
db374708-8a1e-436f-a04f-0e10adeede41,borrower
7ba0730f-c29c-45c8-a56a-cda9c159bbdf,co-borrower
dfa98e40-6733-46fc-b694-ad4747cbecb7,borrower
c86c89f9-afe0-4b63-a3e7-58dfee1e4801,co-borrower
50a4b37a-53a9-4a3a-a128-af3be3bdb3ac,co-borrower
0f50d10e-e609-49f5-9f41-4999792192da,co-borrower
9ee56d96-5557-489a-97f5-4feb7fe0fc1b,co-borrower
d68a8c5a-bded-4506-a8a5-0eeeec95482a,borrower
d068c6cb-59e6-4813-9a2a-2a74e8bb561d,co-borrower
fab38428-17bc-455f-9ed8-e347835bbb59,co-borrower
afc367cc-a05d-4116-9569-e25155aa8bcb,borrower
4592c755-2581-4167-84b5-ae5a7dd4d247,borrower
5f4c2c8f-11aa-4a0a-a16d-adff0b4c013e,borrower
f3e0fc52-601e-44cf-8d2e-0be2ed338f2d,co-borrower
3218fce2-3b15-487f-9d85-92067570d8f9,co-borrower
424b2986-4bae-482c-aa6d-b6e1f2b9af17,co-borrower
aa5b3727-d91f-4f64-872c-f6fdd089f3fa,borrower
c3e2c05c-c4c2-46b3-8edc-68c2c90da9fa,co-borrower
0653919d-5dd7-4ddb-8c1d-3cd14cc1defb,co-borrower
adadebec-b028-4300-bf67-28995c5854a2,co-borrower
63309f07-adf5-4842-823e-238c435462d8,co-borrower
d52cbe4a-9a6c-4fad-ac50-14ad0517f594,borrower
cea8d75b-a1b7-4731-8339-90b410f6fde5,co-borrower
81bc971e-8d17-4b5b-9b34-5153cdcfaef7,borrower
68e80c8f-8c24-47a6-adac-9488af20bf0f,co-borrower
80576073-e7ba-4eca-83d7-be621d14b909,co-borrower
ac51c693-6589-4d66-a3f0-a339789cf061,borrower
66084dcc-244f-4229-a0a8-196235c4eb5d,co-borrower
dbb4a9b7-5503-4012-9489-67d9399cd8f2,co-borrower
9a5008a6-64ed-477c-ba1b-c1a759500fca,co-borrower
357b23ff-e824-40ef-ac31-8574e1f8f5ef,co-borrower
351a01bd-7c90-4a38-90b5-66f0100c39a9,borrower
ecebdfa3-8bf8-4615-866e-5eae75860617,borrower
b04862bc-c023-4052-9ebd-d50778f8f2fb,borrower
fa300634-a984-4b64-958c-0b3b35434952,borrower
bb83c90f-bb7e-4b82-838c-0ee9364b14fb,co-borrower
94c459aa-b9bd-477a-a057-98a536fcc706,borrower
d7f336df-bc7a-4d85-a3e8-40aff910db45,borrower
39d3e605-95ff-40bf-96c5-f04dea7fd195,borrower
49be8cc9-c7cf-4228-b446-857f44bfd817,co-borrower
94623b95-b39e-488d-b12d-586d5240f3c5,co-borrower
190e9f4f-1b13-4e7a-9aa5-c0980f2c8f3e,co-borrower
546787ed-249c-4a00-a510-803b030920b6,borrower
0d9280b5-d570-4fe9-873a-eb90be9d5584,borrower
bc874215-a5db-41f1-a585-f3c597a5d11e,co-borrower
c1fd732c-597d-4dc5-a3ff-d472ab7b44b5,co-borrower
7ac52267-9116-4d10-972b-3e8241021a34,borrower
c963c179-7efd-4074-85a6-ac945ab4010b,borrower
c2a9a9f5-7e61-4126-82d9-99ce3c1e95c6,borrower
b342bc15-cbf0-434c-ab95-63c2d0cad740,co-borrower
5e56db39-285d-4b09-aeaf-95d9aa12fe22,borrower
9a6396c5-541e-4630-b61d-86b6ec71d639,borrower
e2be605a-27ab-4fcb-b676-84ebfd6e5abe,borrower
581a2e61-060a-430f-b52c-548c91b0deca,co-borrower
635891ef-7b2f-48d0-b49b-0d81d88f6408,co-borrower
280daf7d-6626-453a-9ccf-9341694acab9,co-borrower
97afc5af-e254-4f8d-b723-fa0b1a966eb9,borrower
3d57b134-9569-4cd0-b93d-e8e698f54ace,borrower
11b82068-3b40-4ac0-a459-d283f8497d1b,borrower
ebb4c867-8e99-48ec-9ff9-4999b42db4cb,borrower
b4c59f86-8ce4-4b8c-800d-a2da45aa433b,borrower
d29e37f0-2314-483c-8775-6bfd88650d91,co-borrower
ae8132d4-7bb0-4239-b3ef-95a4d901ee84,co-borrower
53f11166-1637-40cf-9088-1d4c02ec29e8,co-borrower
0e5d70d6-5d61-4515-820e-d479fa461fd9,borrower
8eba9861-6cf9-4fcb-8fc8-bd21034e2ab2,borrower
8939bd0d-e1b8-49c4-b6c6-2810be867fd0,borrower
dce489a8-28e6-4ad7-ae90-2921b4794643,borrower
9e9318c4-112d-42d4-8138-d886ea80a2fc,borrower
4c43e669-0245-4fdd-b5a9-64947c0ebdc4,borrower
7b9c3602-ebf3-46c8-808b-f9e1a4fb66af,co-borrower
67877a9f-1655-435c-8b02-e9aec8fca737,co-borrower
a142fe3e-d327-47c8-b852-9bbd09a39b6c,co-borrower
32a3f515-aca3-4047-9cb5-cd311fe77660,co-borrower
3a845792-4007-4ed6-a21f-c43582c3ab60,borrower
bf0ad533-9602-454b-8598-35afaf450836,borrower
043c3f7b-5f4f-438b-9724-3fba36bc4804,co-borrower
ccc8419e-d277-41b3-9849-27ed5914b7aa,co-borrower
06840462-a2a6-48fe-ae41-949998648502,co-borrower
497357ba-c2c7-4164-9399-08abc1b77029,borrower
0ca259dc-f5a0-4ebe-b33a-efd730c2e84f,borrower
78f0375c-2391-4108-a84f-c2848875d09d,borrower
e2330ae5-a1c4-4776-b060-5b0e8fcd7ca5,borrower
54c6422b-1134-4a82-99a4-401cd8d94bd6,co-borrower
2f70d37f-9a77-48a4-8dc8-7ed8a35d014c,borrower
b4a9a430-a1d8-4cc9-9749-f1bf70f80501,co-borrower
79ab458c-88a3-4bca-9cbc-56fb38dc4d42,co-borrower
279efb98-d44d-4c42-bd0a-eac206093c2c,co-borrower
0847fd49-7193-4d4c-9989-71d0f6f87572,borrower
d27625d7-82a0-45e1-a233-35659e2c38b3,borrower
